Name,Pos,Date,Team,Opp,Result,Att,Cmp,Pct,Yds,YPA,TD,Int,Lg,Sack,Rate,,,,,,,,,,
AJ Feeley,QB,1/6/02,Phi,@ TB,"W, 17-13",14,10,71.4,143,10.2,2,1,27,0/0,114,,,,,,,,,,
,,Date,Team,Opp,Result,Att,Cmp,Pct,Yds,YPA,TD,Int,Lg,Sack,Rate,Date,Team,Opp,Result,Att,Yds,Avg,Lg,TD,FD
,,11/25/02,Phi,@ SF,"W, 38-17",3,3,100,17,5.7,1,0,8,0/0,129.9,11/25/02,Phi,@ SF,"W, 38-17",2,-3,-1.5,-1,0,0
,,12/1/02,Phi,Stl,"W, 10-3",30,14,46.7,181,6,0,0,41,24-Mar,66.1,12/1/02,Phi,Stl,"W, 10-3",2,3,1.5,4,0,0
,,12/8/02,Phi,@ Sea,"W, 27-20",35,21,60,190,5.4,2,1,22,0/0,81.8,12/8/02,Phi,@ Sea,"W, 27-20",3,0,0,1,0,0
,,12/15/02,Phi,Was,"W, 34-21",28,16,57.1,220,7.9,2,1,53,10-Feb,91.4,12/15/02,Phi,Was,"W, 34-21",2,5,2.5,6,0,0
,,12/21/02,Phi,@ Dal,"W, 27-3",33,19,57.6,253,7.7,1,2,41,8-Jan,66.9,12/21/02,Phi,@ Dal,"W, 27-3",2,2,1,4,0,0
,,12/28/02,Phi,@ NYG,"L, 10-7",25,13,52,150,6,0,1,35,6-Jan,53.8,12/28/02,Phi,@ NYG,"L, 10-7",1,-1,-1,-1,0,0
,,9/11/04,Mia,Ten,"L, 17-7",31,21,67.7,168,5.4,1,1,19,42411,78.4,9/11/04,Mia,Ten,"L, 17-7",0,0,0,0,0,0
,,9/19/04,Mia,@ Cin,"L, 16-13",39,21,53.8,218,5.6,1,2,37,42417,57.4,9/19/04,Mia,@ Cin,"L, 16-13",1,3,3,3,0,0
,,9/26/04,Mia,Pit,"L, 13-3",27,13,48.1,137,5.1,0,2,36,42449,32.5,9/26/04,Mia,Pit,"L, 13-3",4,1,0.25,2,0,1
,,10/10/04,Mia,@ NE,"L, 24-10",2,1,50,6,3,0,0,6,0/0,56.3,10/10/04,Mia,@ NE,"L, 24-10",0,0,0,0,0,0
,,11/7/04,Mia,Ari,"L, 24-23",15,6,40,129,8.6,0,1,38,42375,43.5,11/7/04,Mia,Ari,"L, 24-23",0,0,0,0,0,0
,,11/21/04,Mia,@ Sea,"L, 24-17",45,23,51.1,229,5.1,1,2,28,42440,54.8,11/21/04,Mia,@ Sea,"L, 24-17",1,7,7,7t,1,1
,,11/28/04,Mia,@ SF,"W, 24-17",33,17,51.5,159,4.8,2,1,25t,42377,72.7,11/28/04,Mia,@ SF,"W, 24-17",4,2,0.5,2,0,0
,,12/5/04,Mia,Buf,"L, 42-32",51,25,49,303,5.9,3,5,36,42375,47.7,12/5/04,Mia,Buf,"L, 42-32",0,0,0,0,0,0
,,12/12/04,Mia,@ Den,"L, 20-17",35,17,48.6,170,4.9,1,1,21,42486,60.4,12/12/04,Mia,@ Den,"L, 20-17",2,2,1,2,0,0
,,12/20/04,Mia,NE,"W, 29-28",35,22,62.9,198,5.7,1,0,21t,42479,87.6,12/20/04,Mia,NE,"W, 29-28",2,-2,-1,-1,0,0
,,12/26/04,Mia,Cle,"W, 10-7",43,25,58.1,176,4.1,1,0,18t,42412,75.3,12/26/04,Mia,Cle,"W, 10-7",0,0,0,0,0,0
,,11/26/06,Phi,@ Ind,"L, 45-21",5,4,80,21,4.2,0,0,8,42379,84.2,11/26/06,Phi,@ Ind,"L, 45-21",0,0,0,0,0,0
,,12/31/06,Phi,Atl,"W, 24-17",33,22,66.7,321,9.7,3,0,89t,0/0,128.5,12/31/06,Phi,Atl,"W, 24-17",1,3,3,3,0,0
,,11/18/07,Phi,Mia,"W, 17-7",19,13,68.4,116,6.1,1,1,24,0/0,80.2,11/18/07,Phi,Mia,"W, 17-7",2,7,3.5,4,0,0
,,11/25/07,Phi,@ NE,"L, 31-28",42,27,64.3,345,8.2,3,3,28t,42409,83.9,11/25/07,Phi,@ NE,"L, 31-28",1,2,2,2,0,1
,,12/2/07,Phi,Sea,"L, 28-24",42,19,45.2,220,5.2,1,4,47,42370,30,12/2/07,Phi,Sea,"L, 28-24",4,14,3.5,7,0,
,,9/11/11,Stl,Phi,"L, 31-13",5,1,20,21,4.2,0,0,21,42375,44.6,9/11/11,Stl,Phi,"L, 31-13",0,0,0,0,0,0
,,10/23/11,Stl,@ Dal,"L, 34-7",33,20,60.6,196,5.9,0,1,34,42370,64.7,10/23/11,Stl,@ Dal,"L, 34-7",1,-1,-1,-1,0,0
,,10/30/11,Stl,NO,"W, 31-21",37,20,54.1,175,4.7,1,0,17,12875,75.8,10/30/11,Stl,NO,"W, 31-21",2,5,2.5,6,0,1
,,12/4/11,Stl,@ SF,"L, 26-0",22,12,54.5,156,7.1,0,1,34,42490,58.1,12/4/11,Stl,@ SF,"L, 26-0",0,0,0,0,0,0
Aaron Rogers,QB,10/9/05,GB,NO,"W, 52-3",1,1,100,0,0,0,0,0,0/0,79.2,0/09/05,GB,NO,"W, 52-3",0,0,0,0,0,0
,,12/19/05,GB,@ Bal,"L, 48-3",15,8,53.3,65,4.3,0,1,16,28-Mar,36.8,12/19/05,GB,@ Bal,"L, 48-3",1,8,8,8,0,1
,,1/1/06,GB,Sea,"W, 23-17",0,0,0,0,0,0,0,0,0/0,0,1/1/06,GB,Sea,"W, 23-17",1,-1,-1,-1,0,0
